corpus_reels,users,dimensions,algorithm,threads,warmup_requests_per_thread,timed_requests_per_thread,total_timed_requests,wall_seconds,rps,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,e2e_max_ms,retrieval_p50_ms,retrieval_p95_ms,retrieval_p99_ms,ranking_p50_ms,ranking_p95_ms,ranking_p99_ms,rerank_p50_ms,rerank_p95_ms,rerank_p99_ms,cpu_utilization_pct,peak_rss_mb,index_build_seconds,index_insert_per_sec
100000,10000,128,hnsw_ranker_diversity,1,200,2000,2000,7.8506,254.8,2.2565,6.5338,7.2007,3.9245,12.1474,1.9501,6.2286,6.8708,0.1761,0.1895,0.2014,0.0206,0.0265,0.0297,99.6,352.12,10.311,9698.4
100000,10000,128,hnsw_ranker_diversity,2,200,2000,4000,7.9944,500.4,2.2782,6.6015,6.8169,3.9894,12.0390,1.9706,6.2952,6.5035,0.1806,0.1912,0.2166,0.0207,0.0263,0.0287,199.6,352.12,10.311,9698.4
100000,10000,128,hnsw_ranker_diversity,4,200,2000,8000,8.7337,916.0,2.5175,7.2840,7.4575,4.3449,7.9713,2.1818,6.9433,7.1178,0.1954,0.2140,0.2420,0.0227,0.0287,0.0308,398.1,352.12,10.311,9698.4
100000,10000,128,hnsw_ranker_diversity,8,200,2000,16000,12.7802,1251.9,4.8945,13.4851,13.9477,6.3220,18.2948,4.1489,13.1058,13.5598,0.2151,0.5173,0.5388,0.0267,0.0576,0.0653,790.7,352.12,10.311,9698.4
100000,10000,128,hnsw_ranker_diversity,10,200,2000,20000,14.4422,1384.8,5.3556,15.4837,18.0333,7.1592,23.9350,4.5450,14.9734,17.3032,0.2263,0.5481,0.6362,0.0288,0.0610,0.0704,976.0,352.12,10.311,9698.4
