stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.673625,4.502171,5.573751,2.881267,27.782250,205000
retrieval,2.347708,3.933002,4.969337,2.524799,19.072375,205000
ranking,0.185833,0.418208,0.467542,0.215805,9.002125,205000
reranking,0.000041,0.000125,0.000250,0.000039,0.018792,205000
