round,sampled_requests,mean_regret,cumulative_regret
0,196,0.693683,135.961830
1,212,0.626755,268.833954
2,205,0.577237,387.167535
3,199,0.575027,501.597960
4,203,0.587948,620.951421
5,185,0.586322,729.420919
6,186,0.546671,831.101656
7,209,0.550170,946.087277
8,208,0.541928,1058.808234
9,186,0.557320,1162.469800
10,189,0.528926,1262.436859
11,197,0.521484,1365.169141
12,196,0.536508,1470.324710
13,205,0.481093,1568.948697
14,193,0.490551,1663.625122
15,226,0.508044,1778.442974
16,215,0.482840,1882.253619
17,219,0.469101,1984.986640
18,205,0.491181,2085.678831
19,211,0.478127,2186.563721
