impression_index,users_at_index,mean_reward,mean_regret
0,500,0.107092,0.679736
1,500,0.091993,0.679736
2,500,0.112244,0.679736
3,500,0.096443,0.679736
4,500,0.106299,0.679736
5,500,0.088137,0.679736
6,500,0.080063,0.679736
7,500,0.091527,0.679736
8,500,0.077482,0.679736
9,500,0.065754,0.679736
10,500,0.120948,0.649042
11,500,0.102265,0.649042
12,500,0.127540,0.649042
13,500,0.133287,0.649042
14,500,0.111604,0.649042
15,500,0.108696,0.649042
16,500,0.140385,0.649042
17,500,0.142681,0.649042
18,500,0.119677,0.649042
19,500,0.108673,0.649042
20,500,0.179888,0.616195
21,500,0.190340,0.616195
22,500,0.161075,0.616195
23,500,0.161066,0.616195
24,500,0.138830,0.616195
25,500,0.155033,0.616195
26,500,0.169418,0.616195
27,500,0.173446,0.616195
28,500,0.151413,0.616195
29,500,0.148916,0.616195
30,500,0.183250,0.603594
31,500,0.129341,0.603594
32,500,0.146624,0.603594
33,500,0.148866,0.603594
34,500,0.146724,0.603594
35,500,0.191524,0.603594
36,500,0.145554,0.603594
37,500,0.159020,0.603594
38,500,0.163245,0.603594
39,500,0.145996,0.603594
40,500,0.172117,0.589636
41,500,0.205887,0.589636
42,500,0.180447,0.589636
43,500,0.212491,0.589636
44,500,0.163434,0.589636
45,500,0.163531,0.589636
46,500,0.144533,0.589636
47,500,0.138668,0.589636
48,500,0.169504,0.589636
49,500,0.157567,0.589636
50,500,0.145760,0.590522
51,500,0.154987,0.590522
52,500,0.223281,0.590522
53,500,0.143433,0.590522
54,500,0.160356,0.590522
55,500,0.155737,0.590522
56,500,0.169741,0.590522
57,500,0.175078,0.590522
58,500,0.171829,0.590522
59,500,0.143614,0.590522
60,500,0.137225,0.568985
61,500,0.159043,0.568985
62,500,0.173069,0.568985
63,500,0.194594,0.568985
64,500,0.198000,0.568985
65,500,0.166111,0.568985
66,500,0.193222,0.568985
67,500,0.171103,0.568985
68,500,0.191031,0.568985
69,500,0.210188,0.568985
70,500,0.177675,0.559976
71,500,0.190975,0.559976
72,500,0.190922,0.559976
73,500,0.193126,0.559976
74,500,0.201190,0.559976
75,500,0.187181,0.559976
76,500,0.170840,0.559976
77,500,0.203072,0.559976
78,500,0.165286,0.559976
79,500,0.183070,0.559976
80,500,0.194038,0.550609
81,500,0.178872,0.550609
82,500,0.198315,0.550609
83,500,0.195259,0.550609
84,500,0.206512,0.550609
85,500,0.172529,0.550609
86,500,0.189854,0.550609
87,500,0.227795,0.550609
88,500,0.192823,0.550609
89,500,0.204715,0.550609
90,500,0.191123,0.542905
91,500,0.246592,0.542905
92,500,0.215341,0.542905
93,500,0.211652,0.542905
94,500,0.183172,0.542905
95,500,0.177636,0.542905
96,500,0.208009,0.542905
97,500,0.199498,0.542905
98,500,0.228432,0.542905
99,500,0.175558,0.542905
