vector_count,m,ef_construction,max_graph_level,build_time_ms,insert_throughput_per_sec,memory_delta_mb,level_distribution,dimensions,degree_histogram_level0,peak_rss_mb
100000,8,200,5,14206.220,7039.17,59.453,87589;10904;1312;170;21;4,64,2;2;21;62;181;533;1547;4629;14121;11681;9644;8224;6862;6021;6003;7782;22685,123.27
100000,16,200,4,23654.389,4227.55,22.984,93741;5853;386;17;3,64,0;0;0;0;0;0;0;0;0;2;2;3;9;26;102;509;7121;6460;6000;5626;5111;4943;4610;4189;4109;4012;3660;3710;3660;3735;4426;6899;21076,141.45
100000,32,200,3,34810.847,2872.67,47.594,96852;3042;101;5,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3348;3141;3094;2874;2905;2655;2590;2521;2396;2389;2282;2193;2171;2141;2097;2028;2026;1971;1932;1995;1911;1889;1884;1927;2012;1966;2067;2216;2321;2823;3705;6559;19965,189.06
