impression_index,users_at_index,mean_reward,mean_regret
0,500,0.055908,0.680115
1,500,0.075828,0.680115
2,500,0.109335,0.680115
3,500,0.069706,0.680115
4,500,0.086723,0.680115
5,500,0.117388,0.680115
6,500,0.121842,0.680115
7,500,0.101610,0.680115
8,500,0.080821,0.680115
9,500,0.066946,0.680115
10,500,0.143983,0.626025
11,500,0.166531,0.626025
12,500,0.130727,0.626025
13,500,0.127017,0.626025
14,500,0.138092,0.626025
15,500,0.142607,0.626025
16,500,0.139745,0.626025
17,500,0.131714,0.626025
18,500,0.150950,0.626025
19,500,0.165021,0.626025
20,500,0.185785,0.612801
21,500,0.174706,0.612801
22,500,0.178981,0.612801
23,500,0.163703,0.612801
24,500,0.146313,0.612801
25,500,0.154279,0.612801
26,500,0.159226,0.612801
27,500,0.189455,0.612801
28,500,0.147827,0.612801
29,500,0.112174,0.612801
30,500,0.154359,0.602115
31,500,0.149894,0.602115
32,500,0.178877,0.602115
33,500,0.164656,0.602115
34,500,0.172072,0.602115
35,500,0.180492,0.602115
36,500,0.109915,0.602115
37,500,0.127809,0.602115
38,500,0.177061,0.602115
39,500,0.174975,0.602115
40,500,0.163748,0.589897
41,500,0.174661,0.589897
42,500,0.166196,0.589897
43,500,0.169509,0.589897
44,500,0.176470,0.589897
45,500,0.169228,0.589897
46,500,0.151817,0.589897
47,500,0.150428,0.589897
48,500,0.154570,0.589897
49,500,0.171293,0.589897
50,500,0.177579,0.564515
51,500,0.174482,0.564515
52,500,0.207156,0.564515
53,500,0.179450,0.564515
54,500,0.174199,0.564515
55,500,0.153138,0.564515
56,500,0.190615,0.564515
57,500,0.207516,0.564515
58,500,0.191989,0.564515
59,500,0.134339,0.564515
60,500,0.205855,0.558167
61,500,0.214160,0.558167
62,500,0.181918,0.558167
63,500,0.201824,0.558167
64,500,0.186440,0.558167
65,500,0.180351,0.558167
66,500,0.173121,0.558167
67,500,0.215430,0.558167
68,500,0.184155,0.558167
69,500,0.216331,0.558167
70,500,0.193553,0.556838
71,500,0.197177,0.556838
72,500,0.214356,0.556838
73,500,0.241102,0.556838
74,500,0.193268,0.556838
75,500,0.201847,0.556838
76,500,0.182708,0.556838
77,500,0.205760,0.556838
78,500,0.204801,0.556838
79,500,0.214893,0.556838
80,500,0.178318,0.560694
81,500,0.186833,0.560694
82,500,0.189485,0.560694
83,500,0.210188,0.560694
84,500,0.187917,0.560694
85,500,0.161205,0.560694
86,500,0.180905,0.560694
87,500,0.169812,0.560694
88,500,0.174184,0.560694
89,500,0.181075,0.560694
90,500,0.194329,0.544511
91,500,0.206134,0.544511
92,500,0.216720,0.544511
93,500,0.216814,0.544511
94,500,0.191002,0.544511
95,500,0.198790,0.544511
96,500,0.245656,0.544511
97,500,0.201787,0.544511
98,500,0.172204,0.544511
99,500,0.223826,0.544511
