round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.453496,13.157927,0.464240,0.419980,0.078820,0.029700,0.008830,8.637816,0.105987,0.915500,0.103964
1,100000,0.490210,11.262188,0.434490,0.454800,0.090690,0.034070,0.015940,6.908940,0.134241,0.927466,0.155576
2,100000,0.524266,12.517076,0.404080,0.490110,0.103900,0.038280,0.019380,6.436249,0.166314,1.070436,0.178802
3,100000,0.537234,12.517194,0.395880,0.503270,0.109310,0.041060,0.022260,6.414780,0.177174,1.136534,0.192476
4,100000,0.543666,12.434504,0.389040,0.509390,0.111130,0.041830,0.023840,6.525711,0.183197,1.195493,0.200499
5,100000,0.551328,13.526073,0.383060,0.516290,0.112800,0.040720,0.026330,6.598918,0.190447,1.256741,0.209295
6,100000,0.556290,15.925440,0.380400,0.520710,0.115190,0.042580,0.028440,6.519330,0.197752,1.289212,0.219693
7,100000,0.559687,16.250115,0.375870,0.523840,0.117220,0.042010,0.031380,6.519330,0.202393,1.319465,0.226653
8,100000,0.564448,18.048827,0.373230,0.528220,0.119080,0.043530,0.031840,6.546645,0.208029,1.361889,0.232971
9,100000,0.570463,19.652698,0.368990,0.534740,0.121600,0.044580,0.034880,6.518055,0.214286,1.396726,0.244064
10,105000,0.565486,18.888266,0.372619,0.529010,0.119743,0.044733,0.032162,6.612924,0.210013,1.388798,0.244755
11,105000,0.576504,20.949081,0.362514,0.540057,0.124790,0.046019,0.035590,6.534321,0.222520,1.454015,0.251133
12,105000,0.583547,21.685574,0.357162,0.547362,0.126324,0.048152,0.040000,6.537983,0.229873,1.502906,0.261988
13,105000,0.592681,21.816977,0.350838,0.557105,0.131495,0.048533,0.040848,6.546135,0.237747,1.556322,0.271688
14,105000,0.595257,20.957428,0.348933,0.560114,0.133962,0.049362,0.044352,6.517286,0.239760,1.562584,0.278069
15,105000,0.606248,20.887681,0.339057,0.569886,0.138476,0.050610,0.046400,6.512436,0.249683,1.626043,0.288204
16,105000,0.621437,20.142736,0.325924,0.586400,0.144781,0.051962,0.050190,6.547359,0.261931,1.714957,0.301595
17,105000,0.624421,20.885323,0.322743,0.589067,0.146305,0.052895,0.051152,6.515669,0.265795,1.731835,0.306345
18,105000,0.625497,21.264764,0.323781,0.590419,0.147448,0.054571,0.052514,6.550218,0.266842,1.747872,0.310799
19,105000,0.635881,21.376324,0.314590,0.600990,0.149457,0.056648,0.055543,6.503159,0.276367,1.797259,0.322947
