stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.717230,7.934875,10.321546,3.524512,48.854917,205000
retrieval,2.386770,7.553041,9.859297,3.175424,38.181875,205000
ranking,0.187125,0.421167,0.467875,0.211704,10.390292,205000
reranking,0.000041,0.000334,0.000625,0.000094,0.030375,205000
