archetype_index,archetype_name,impressions,exposure_share,mean_immediate_satisfaction,mean_regret
0,genuinely_satisfying,393320,0.196660,0.640732,0.017609
1,useful,268258,0.134129,0.657832,0.016863
2,ragebait,205693,0.102846,-0.332165,0.521970
3,clickbait,282832,0.141416,0.086608,0.344741
4,comfort,266018,0.133009,0.446774,0.022553
5,polished_irrelevant,178794,0.089397,0.164611,0.168155
6,niche_treasure,154332,0.077166,0.588787,0.039142
7,background_music,250753,0.125377,0.346312,0.028913
