archetype_index,archetype_name,impressions,exposure_share,mean_immediate_satisfaction,mean_regret
0,genuinely_satisfying,842837,0.415348,0.235552,0.010046
1,useful,147339,0.072608,0.197467,0.008329
2,ragebait,93860,0.046254,-0.528252,0.472337
3,clickbait,166342,0.081973,-0.257018,0.328933
4,comfort,298340,0.147021,0.065053,0.011865
5,polished_irrelevant,100674,0.049612,-0.176755,0.144525
6,niche_treasure,187787,0.092541,0.161045,0.024661
7,background_music,192051,0.094642,0.002420,0.016204
