vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
10000,64,16,200,16,10,0.892600,10.000,0.008792,0.012296,0.015250,0.009058,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,16,50,0.925120,50.000,0.016500,0.022585,0.032591,0.017217,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,16,200,0.952895,200.000,0.035417,0.053849,0.072628,0.036903,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,16,500,0.864306,500.000,0.099854,0.128720,0.144419,0.101579,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,32,10,0.911700,10.000,0.011416,0.015256,0.021293,0.011812,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,32,50,0.925120,50.000,0.015208,0.020252,0.030208,0.015743,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,32,200,0.952895,200.000,0.033167,0.050968,0.070139,0.034784,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,32,500,0.864306,500.000,0.096875,0.122674,0.139046,0.098441,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,64,10,0.934400,10.000,0.016416,0.023140,0.032918,0.017097,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,64,50,0.932520,50.000,0.017083,0.024106,0.033293,0.017945,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,64,200,0.952895,200.000,0.033396,0.051429,0.068759,0.035055,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,64,500,0.864306,500.000,0.097125,0.123703,0.138299,0.098931,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,128,10,0.944500,10.000,0.023916,0.036177,0.046096,0.025092,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,128,50,0.943540,50.000,0.024500,0.035477,0.047793,0.025605,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,128,200,0.952895,200.000,0.033250,0.051502,0.068519,0.034896,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,128,500,0.864306,500.000,0.097917,0.124756,0.139753,0.099439,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,256,10,0.965300,10.000,0.035542,0.054054,0.077130,0.037413,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,256,50,0.964560,50.000,0.036042,0.054881,0.076544,0.037891,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,256,200,0.960090,200.000,0.038333,0.057375,0.079966,0.040374,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
10000,64,16,200,256,500,0.864306,500.000,0.098146,0.122390,0.137667,0.099267,1000,528.865,18908.43,7438336,7.094,3,4,clustered,-1.00,21.62
