day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,37702,10000,3.770200,-0.079182,0.375792,52,0.004358,2.840055
1,20503,8280,2.476208,-0.279764,0.186281,149,0.009913,2.839463
2,16251,7333,2.216146,-0.246234,0.110918,266,0.015528,2.841167
3,14442,6746,2.140824,-0.233641,0.075780,386,0.021176,2.843296
4,13463,6508,2.068685,-0.224162,0.055075,485,0.026902,2.845746
5,13085,6469,2.022724,-0.229850,0.042033,590,0.033189,2.849155
6,12667,6292,2.013191,-0.215455,0.033503,693,0.039736,2.852854
7,12271,6169,1.989139,-0.215519,0.027717,791,0.046642,2.856532
8,12164,6178,1.968922,-0.199198,0.023513,896,0.053663,2.860788
9,0,0,0.000000,0.000000,0.023513,896,0.053663,2.860788
