day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,189222,0.028361,0.091490,0.488569,0.419872,0.000000,0.000000,0.027930,0.000021,0.063560,0.000048,0.284610
1,91238,0.010146,0.229301,0.472676,0.400096,0.000000,0.000000,0.033319,0.000241,0.093338,0.000329,0.274777
2,75328,0.007790,0.240601,0.466865,0.409529,0.000000,0.000000,0.019687,0.000279,0.103414,0.000226,0.274198
3,67232,0.007423,0.219449,0.478106,0.399304,0.000015,0.000000,0.016242,0.000476,0.105709,0.000149,0.278458
4,63212,0.007177,0.224578,0.475384,0.398785,0.000000,0.000000,0.025391,0.000522,0.099760,0.000158,0.275452
5,61342,0.006971,0.222344,0.466874,0.395373,0.000000,0.000000,0.029670,0.001027,0.106925,0.000130,0.286934
6,59668,0.006151,0.242006,0.474191,0.395086,0.000000,0.000000,0.027402,0.000855,0.102316,0.000151,0.277805
7,57934,0.005494,0.253133,0.467636,0.402820,0.000000,0.000000,0.027255,0.000449,0.098854,0.002986,0.281124
8,58043,0.005557,0.261358,0.464449,0.398308,0.000000,0.000000,0.031959,0.000362,0.103268,0.001654,0.288789
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
