round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,477280,0.048126,0.064449,0.135115,170000.160677,0.154237,0.277453,0.271819,0.419765,0.000000
1,605034,0.059018,0.064825,0.128826,277179.531559,0.152211,0.269502,0.287012,0.418214,0.000000
2,620832,0.102458,0.077938,0.180845,351735.063239,0.164251,0.266291,0.309461,0.421766,0.000000
3,324931,0.130207,0.066192,0.225420,187686.152982,0.160172,0.276690,0.319068,0.432693,0.000000
