scenario,arm,impressions,requests,mean watch seconds,completion rate,like rate,share rate,follow rate,comment rate,save rate,profile-visit rate,reward/impression,mean hidden satisfaction,mean hidden regret,satisfaction per minute,harmful fatigue,platform trust,sessions (closed),mean session utility U_s,early-failure exit rate,natural completion rate,harmful fatigue (mean),exit share: satisfied,exit share: fatigue,exit share: regret,mean true affinity,estimated<->hidden cosine,mean unique creators/feed,mean creator HHI (per feed),mean intra-list similarity,retention (1d),retention (7d),sessions/user/day,satisfaction-weighted retention,churn rate,mean churn probability,mean final trust,mean final habit,mean pref shift from initial,mean final preference entropy,creator HHI (final day),creator HHI (whole run),tail-creator share (whole run),arch share whole-run: genuinely_satisfying,arch share whole-run: useful,arch share whole-run: ragebait,arch share whole-run: clickbait,arch share whole-run: comfort,arch share whole-run: polished_irrelevant,arch share whole-run: niche_treasure,arch share whole-run: background_music,niche in-cohort match rate (whole run)
ragebait_amplification,engagement,184698,67987,49.2627,0.81467,0.178367,0.0605746,0.0129888,0.44785,0.148838,0.186429,0.319577,-0.558743,0.366172,-0.680527,0.320489,0.0221083,67957,-4.32056,0.823256,0.0159365,0.320489,0.0159365,0.13872,0.00593022,0.0665463,0.103314,9.94056,0.101234,0.761258,0.5664,0.9558,0.755078,0.599642,0.3082,0.113533,0.0221083,0.0811955,0.0223518,2.83444,1,0.0191495,0.109666,0.22977,0.000373583,0.689937,0.0384249,0.00117489,0.000801308,0.0297729,0.00974564,0.312239
ragebait_amplification,proxy,701771,151141,29.8614,0.762649,0.142135,0.0736494,0.0143722,0.110389,0.38189,0.290633,0.352782,-0.155559,0.0193569,-0.312562,0.315689,0.0246738,147160,-1.73658,0.372268,0.055579,0.315689,0.055579,0.543789,6.79532e-06,0.0920456,0.062015,9.74109,0.10572,0.716829,0.8294,0.9954,1.63511,0.99145,0.0913,0.0270834,0.0246738,0.113426,0.055383,2.86073,0.00557541,0.00683648,0.181126,0.399149,0.498968,0,0,0.0260042,0.00149906,0.0740541,0.000326317,0.292424
