day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,37305,10000,3.730500,-0.085644,0.369651,40,0.004781,2.840807
1,20182,8242,2.448678,-0.279089,0.181400,142,0.010298,2.840356
2,16285,7258,2.243731,-0.242841,0.107533,279,0.015842,2.841820
3,14576,6783,2.148902,-0.213249,0.073445,388,0.021446,2.844089
4,13816,6558,2.106740,-0.208645,0.053893,489,0.027451,2.847188
5,13339,6498,2.052785,-0.205272,0.041494,593,0.033834,2.850449
6,13152,6394,2.056928,-0.197818,0.033150,705,0.040486,2.854179
7,12490,6234,2.003529,-0.194639,0.027454,801,0.047399,2.858064
8,12380,6225,1.988755,-0.181557,0.023754,899,0.054608,2.862477
9,0,0,0.000000,0.000000,0.023754,899,0.054608,2.862477
