vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
100000,64,16,50,128,50,0.487080,50.000,0.205270,0.236103,0.255692,0.207644,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,16,50,128,200,0.515665,200.000,0.313666,0.360783,0.399882,0.318354,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,16,50,128,500,0.699418,500.000,0.720188,0.819808,0.925011,0.732499,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,16,50,256,10,0.760700,10.000,0.382167,0.418027,0.435924,0.384257,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,16,50,256,50,0.676620,50.000,0.388708,0.444792,0.490587,0.394170,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,16,50,256,200,0.583265,200.000,0.386917,0.441506,0.499946,0.392745,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,16,50,256,500,0.699418,500.000,0.722541,0.805166,0.879971,0.730460,1000,7251.694,13789.88,30408704,29.000,4,5,random,-1.00,146.75
100000,64,32,50,16,10,0.309400,10.000,0.066063,0.095587,0.109678,0.067806,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,16,50,0.503760,50.000,0.158958,0.212398,0.236880,0.163351,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,16,200,0.778010,200.000,0.511375,0.577794,0.609021,0.517355,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,16,500,0.911108,500.000,1.149167,1.295007,1.469623,1.163131,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,32,10,0.483300,10.000,0.114854,0.158142,0.182088,0.117715,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,32,50,0.503760,50.000,0.151855,0.182983,0.197794,0.154012,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,32,200,0.778010,200.000,0.515708,0.621721,0.657819,0.533854,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,32,500,0.911108,500.000,1.152166,1.376480,1.632906,1.182022,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
100000,64,32,50,64,10,0.661500,10.000,0.191312,0.225740,0.246136,0.193531,1000,12645.836,7907.74,57016320,54.375,3,4,random,-1.00,193.66
