scenario,arm,impressions,requests,mean watch seconds,completion rate,like rate,share rate,follow rate,comment rate,save rate,profile-visit rate,reward/impression,mean hidden satisfaction,mean hidden regret,satisfaction per minute,harmful fatigue,platform trust,sessions (closed),mean session utility U_s,early-failure exit rate,natural completion rate,harmful fatigue (mean),exit share: satisfied,exit share: fatigue,exit share: regret,mean true affinity,estimated<->hidden cosine,mean unique creators/feed,mean creator HHI (per feed),mean intra-list similarity,retention (1d),retention (7d),sessions/user/day,satisfaction-weighted retention,churn rate,mean churn probability,mean final trust,mean final habit,mean pref shift from initial,mean final preference entropy,creator HHI (final day),creator HHI (whole run),tail-creator share (whole run),arch share whole-run: genuinely_satisfying,arch share whole-run: useful,arch share whole-run: ragebait,arch share whole-run: clickbait,arch share whole-run: comfort,arch share whole-run: polished_irrelevant,arch share whole-run: niche_treasure,arch share whole-run: background_music,niche in-cohort match rate (whole run)
popularity_feedback,control,440616,112407,19.4722,0.875817,0.211656,0.0760867,0.0152332,0.174133,0.226921,0.253724,0.398564,-0.297539,0.105345,-0.91681,0.311505,0.0120914,111525,-2.83296,0.542739,0.0445999,0.311505,0.0445999,0.388693,0.000295898,0.0776751,0.0449687,9.59633,0.108795,0.72064,0.8012,0.9944,1.23917,0.982869,0.1672,0.0576934,0.0120914,0.0813808,0.0453676,2.84991,1,0.0127391,0.142775,0.394591,0.0519704,0.0592126,0.114249,0.108155,0.0712525,0.110348,0.0902214,0.28319
popularity_feedback,popularity,399424,105358,18.2029,0.892981,0.217999,0.0762122,0.0147738,0.184839,0.21879,0.247987,0.40308,-0.325215,0.117189,-1.07197,0.31078,0.0137982,104563,-3.0002,0.577413,0.0377667,0.31078,0.0377667,0.361581,0.000411235,0.0677574,0.0486395,9.90152,0.102015,0.71776,0.7583,0.9924,1.16181,0.919343,0.1805,0.0634163,0.0137982,0.0835388,0.0448384,2.85006,0.00786841,0.0112608,0.0534144,0.471712,0.0215911,0.0371535,0.187492,0.0399951,0.0601366,0.0883547,0.0935647,0.273186
