scenario,arm,impressions,requests,mean watch seconds,completion rate,like rate,share rate,follow rate,comment rate,save rate,profile-visit rate,reward/impression,mean hidden satisfaction,mean hidden regret,satisfaction per minute,harmful fatigue,platform trust,sessions (closed),mean session utility U_s,early-failure exit rate,natural completion rate,harmful fatigue (mean),exit share: satisfied,exit share: fatigue,exit share: regret,mean true affinity,estimated<->hidden cosine,mean unique creators/feed,mean creator HHI (per feed),mean intra-list similarity,retention (1d),retention (7d),sessions/user/day,satisfaction-weighted retention,churn rate,mean churn probability,mean final trust,mean final habit,mean pref shift from initial,mean final preference entropy,creator HHI (final day),creator HHI (whole run),tail-creator share (whole run),arch share whole-run: genuinely_satisfying,arch share whole-run: useful,arch share whole-run: ragebait,arch share whole-run: clickbait,arch share whole-run: comfort,arch share whole-run: polished_irrelevant,arch share whole-run: niche_treasure,arch share whole-run: background_music,niche in-cohort match rate (whole run)
filter_bubble,control,468824,130813,20.3414,0.871809,0.213487,0.0771526,0.0158908,0.174142,0.235786,0.257374,0.407095,-0.267754,0.100215,-0.78978,0.315378,0.0149319,115376,-2.70735,0.527233,0.0417505,0.315378,0.0417505,0.406592,0.000164679,0.0831397,0.0444789,6.39086,0.193433,0.631802,0.8257,0.9957,1.28196,0.986157,0.1544,0.0560355,0.0149319,0.0797077,0.0489269,2.8521,0.00806868,0.0114112,0.103576,0.392881,0.0639856,0.051113,0.118074,0.106014,0.0625608,0.119473,0.0858979,0.280029
filter_bubble,bubble,412575,117684,42.1503,0.645025,0.148664,0.0569569,0.0126789,0.17121,0.228446,0.253891,0.282486,-0.330474,0.112007,-0.470423,0.271567,0.0168018,102066,-3.07934,0.577538,0.0281289,0.271567,0.0281289,0.369986,0.000186154,0.0889158,0.0603985,6.70465,0.183257,0.68428,0.7546,0.9908,1.13407,0.941035,0.159,0.0559409,0.0168018,0.0724203,0.0504034,2.85203,1,0.00435784,0.277821,0.236313,0.14943,0.0746579,0.110113,0.162116,0.0928146,0.0644755,0.110079,0.284313
