round,sampled_requests,mean_regret,cumulative_regret
0,196,0.687104,134.672312
1,212,0.630448,268.327286
2,205,0.607293,392.822326
3,199,0.554233,503.114772
4,203,0.600334,624.982639
5,185,0.551116,726.939154
6,186,0.567092,832.418245
7,209,0.543527,946.015450
8,208,0.547752,1059.947867
9,186,0.536401,1159.718487
10,189,0.540189,1261.814242
11,197,0.498487,1360.016138
12,196,0.518109,1461.565423
13,205,0.487256,1561.452989
14,193,0.514463,1660.744406
15,226,0.487130,1770.835891
16,215,0.471366,1872.179571
17,219,0.477936,1976.847457
18,205,0.461294,2071.412823
19,211,0.459900,2168.451820
