round,injected_impressions,injected_impressions_cum,distinct_injected_exposed_cum,share_of_round_impressions
0,0,0,0,0.000000
1,0,0,0,0.000000
2,0,0,0,0.000000
3,0,0,0,0.000000
4,0,0,0,0.000000
5,0,0,0,0.000000
6,0,0,0,0.000000
7,0,0,0,0.000000
8,0,0,0,0.000000
9,0,0,0,0.000000
10,56571,56571,1255,0.538771
11,7426,63997,1275,0.070724
12,4884,68881,1288,0.046514
13,4325,73206,1302,0.041190
14,4186,77392,1320,0.039867
15,4223,81615,1333,0.040219
16,3318,84933,1349,0.031600
17,3548,88481,1370,0.033790
18,4130,92611,1389,0.039333
19,2709,95320,1408,0.025800
