stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,3.133938,8.868796,11.248469,4.289698,47.759708,205000
retrieval,2.789416,8.467379,10.783630,3.955830,45.310625,205000
ranking,0.181416,0.408500,0.456791,0.201193,13.364709,205000
reranking,0.000083,0.000541,0.000791,0.000182,0.013834,205000
