round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.103362,0.248076
1,20,0.130894,0.262695
2,30,0.164527,0.271573
3,40,0.178357,0.281555
4,50,0.183682,0.291472
5,60,0.186851,0.302121
6,70,0.194628,0.311238
7,80,0.208857,0.321538
8,90,0.210329,0.330816
9,100,0.218173,0.339359
10,110,0.212739,0.344085
11,120,0.228705,0.355280
12,130,0.237344,0.363880
13,140,0.242247,0.372901
14,150,0.249013,0.381884
15,160,0.256364,0.390973
16,170,0.262099,0.399148
17,180,0.269323,0.408904
18,190,0.272067,0.417008
19,200,0.277991,0.424534
