day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,30586,10000,3.058600,-0.193446,0.315865,92,0.003755,2.835141
1,14258,7546,1.889478,-0.500277,0.152796,243,0.008692,2.833027
2,10591,6319,1.676056,-0.548462,0.090063,420,0.014009,2.833689
3,9265,5709,1.622876,-0.560528,0.059030,606,0.019810,2.835823
4,8227,5216,1.577262,-0.561804,0.041824,795,0.025546,2.838329
5,7759,5054,1.535220,-0.563855,0.031312,1007,0.031505,2.841468
6,7469,4885,1.528966,-0.563782,0.024274,1202,0.037590,2.844574
7,7249,4770,1.519706,-0.567461,0.019862,1393,0.043979,2.848100
8,6992,4657,1.501396,-0.568270,0.016656,1568,0.050585,2.852037
9,0,0,0.000000,0.000000,0.016656,1568,0.050585,2.852037
