day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,166845,0.038570,0.050718,0.757104,0.027385,0.002086,0.000252,0.003662,0.001067,0.161192,0.047253,0.289507
1,69593,0.013866,0.153033,0.696449,0.055896,0.012717,0.001092,0.009484,0.004454,0.177288,0.042619,0.282542
2,51246,0.008393,0.173984,0.694942,0.060980,0.033720,0.000956,0.013484,0.005776,0.142977,0.047165,0.277740
3,42985,0.006972,0.181459,0.706828,0.057183,0.046365,0.000465,0.014307,0.005700,0.131860,0.037292,0.277699
4,40004,0.006160,0.191856,0.695905,0.064369,0.047770,0.000675,0.018273,0.006249,0.135136,0.031622,0.283204
5,39023,0.005687,0.190785,0.699177,0.063655,0.045870,0.001204,0.017989,0.006483,0.134587,0.031033,0.281417
6,37197,0.005504,0.189316,0.702207,0.065650,0.044708,0.001022,0.017098,0.005753,0.135280,0.028282,0.269873
7,36280,0.005199,0.198512,0.697078,0.068550,0.042393,0.001075,0.017971,0.005485,0.138616,0.028831,0.279578
8,35449,0.004852,0.211656,0.692544,0.072781,0.038309,0.001241,0.018675,0.006206,0.139355,0.030889,0.270850
9,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000
