day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,35961,10000,3.596100,-0.125317,0.367577,54,0.004612,2.838260
1,17901,8158,2.194288,-0.426521,0.179309,179,0.010737,2.837777
2,13154,6752,1.948164,-0.436633,0.105377,334,0.016594,2.839697
3,11129,6186,1.799062,-0.440124,0.069825,499,0.022318,2.842470
4,10328,5752,1.795549,-0.409898,0.050920,691,0.028072,2.845525
5,10060,5672,1.773625,-0.412841,0.038063,866,0.034176,2.848853
6,9591,5502,1.743184,-0.407043,0.030038,1046,0.040376,2.852320
7,9327,5309,1.756828,-0.409303,0.024501,1198,0.046715,2.856348
8,9042,5242,1.724914,-0.420783,0.020359,1342,0.053457,2.860529
9,0,0,0.000000,0.000000,0.020359,1342,0.053457,2.860529
