vector_count,m,ef_construction,max_graph_level,build_time_ms,insert_throughput_per_sec,memory_delta_mb,level_distribution,dimensions,degree_histogram_level0,peak_rss_mb
100000,16,200,4,9700.269,10308.99,62.391,93741;5853;386;17;3,64,6;14;65;165;413;812;1456;2286;3010;3882;4491;5038;4791;4572;4277;4180;4523;4051;3375;3016;2727;2523;2273;2146;1998;1820;1852;1669;1693;1638;1856;3102;20280,127.70
100000,16,200,4,10677.707,9365.31,61.344,93853;5785;336;23;3,128,3;16;68;215;549;1089;1777;2761;3426;4203;4639;4789;4859;4635;4122;3935;4478;3755;3214;2771;2495;2264;2141;1988;1839;1801;1679;1673;1633;1691;1965;3118;20409,284.75
