stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,2.672605,4.538752,5.600880,2.883760,28.932875,205000
retrieval,2.345708,3.959919,5.000544,2.526440,27.452500,205000
ranking,0.187834,0.428416,0.473167,0.217871,7.543417,205000
reranking,0.000041,0.000125,0.000250,0.000035,0.015750,205000
