day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,176731,0.032509,0.065970,0.686857,0.196129,0.000000,0.000000,0.002218,0.000045,0.114660,0.000091,0.292045
1,80007,0.010283,0.193408,0.622021,0.228205,0.000012,0.000000,0.010337,0.000325,0.133851,0.005250,0.282286
2,64238,0.007582,0.211604,0.613282,0.234456,0.000000,0.000000,0.014275,0.000669,0.116971,0.020346,0.276284
3,58868,0.006809,0.211660,0.591833,0.261874,0.000017,0.000000,0.018992,0.001087,0.113950,0.012248,0.276983
4,54521,0.006432,0.212945,0.597843,0.262156,0.000018,0.000000,0.021074,0.001706,0.108472,0.008731,0.272235
5,51991,0.006134,0.210248,0.600989,0.255506,0.001096,0.000019,0.023927,0.002193,0.109230,0.007040,0.282796
6,51571,0.006047,0.210234,0.606135,0.258750,0.001066,0.000000,0.022513,0.001609,0.104885,0.005042,0.274173
7,51240,0.005894,0.215476,0.615437,0.250605,0.000781,0.000020,0.022404,0.001054,0.106616,0.003084,0.276588
8,49615,0.005392,0.237731,0.597118,0.266290,0.000585,0.000000,0.024448,0.001008,0.108294,0.002257,0.273776
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
