vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels
10000,64,32,200,16,10,0.670500,10.000,0.026771,0.032646,0.036687,0.027285,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,16,50,0.863700,50.000,0.065917,0.072585,0.076250,0.066315,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,16,200,0.986175,200.000,0.189603,0.202105,0.210950,0.190757,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,16,500,0.998830,500.000,0.326854,0.344767,0.351129,0.327758,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,32,10,0.827500,10.000,0.046083,0.052379,0.055678,0.046219,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,32,50,0.863700,50.000,0.065188,0.070881,0.074343,0.065375,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,32,200,0.986175,200.000,0.188395,0.200465,0.213759,0.189389,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,32,500,0.998830,500.000,0.327271,0.344271,0.358261,0.328257,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,64,10,0.952000,10.000,0.078250,0.085158,0.092664,0.078807,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,64,50,0.906900,50.000,0.081020,0.086300,0.093977,0.080949,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,64,200,0.986175,200.000,0.191271,0.206991,0.222370,0.193760,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,64,500,0.998830,500.000,0.329688,0.342885,0.349449,0.329897,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,128,10,0.997500,10.000,0.134959,0.144710,0.147430,0.135467,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,128,50,0.982300,50.000,0.138709,0.146841,0.154424,0.138795,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,128,200,0.986175,200.000,0.188021,0.199637,0.205309,0.188812,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,128,500,0.998830,500.000,0.324646,0.344010,0.351088,0.327017,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,256,10,1.000000,10.000,0.219688,0.231523,0.237384,0.220767,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,256,50,0.999100,50.000,0.219562,0.230842,0.240830,0.220311,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,256,200,0.993600,200.000,0.221312,0.233552,0.243973,0.221551,200,1575.797,6345.99,5128192,4.891,2,3
10000,64,32,200,256,500,0.998830,500.000,0.327041,0.342582,0.352209,0.327883,200,1575.797,6345.99,5128192,4.891,2,3
100000,64,8,200,16,10,0.063000,10.000,0.021229,0.030223,0.035338,0.021715,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,16,50,0.135000,50.000,0.055855,0.072083,0.077692,0.056606,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,16,200,0.313700,200.000,0.213458,0.257499,0.283967,0.216457,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,16,500,0.478000,500.000,0.494166,0.540665,0.550087,0.493551,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,32,10,0.110500,10.000,0.041167,0.054593,0.060718,0.041384,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,32,50,0.135000,50.000,0.056896,0.072498,0.079720,0.057776,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,32,200,0.313700,200.000,0.213458,0.241126,0.261088,0.213250,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,32,500,0.478000,500.000,0.512062,0.632298,0.683817,0.525984,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,64,10,0.204000,10.000,0.092083,0.121227,0.135502,0.092769,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,64,50,0.168900,50.000,0.073875,0.095171,0.099858,0.074388,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,64,200,0.313700,200.000,0.222896,0.271925,0.287711,0.225344,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,64,500,0.478000,500.000,0.539687,0.580090,0.593368,0.534353,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,128,10,0.352500,10.000,0.144709,0.172885,0.178841,0.145399,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,128,50,0.289000,50.000,0.145792,0.173281,0.180964,0.145926,200,14427.043,6931.43,56999936,54.359,5,6
