round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.106767,0.250736
1,20,0.131957,0.263147
2,30,0.167174,0.272772
3,40,0.177663,0.282983
4,50,0.182527,0.292067
5,60,0.190146,0.302569
6,70,0.198775,0.311594
7,80,0.201601,0.320812
8,90,0.210832,0.330401
9,100,0.218797,0.339614
10,110,0.208467,0.343409
11,120,0.227186,0.353488
12,130,0.233963,0.362254
13,140,0.241196,0.371065
14,150,0.245842,0.379687
15,160,0.252616,0.387590
16,170,0.257633,0.395799
17,180,0.265270,0.404580
18,190,0.271255,0.412190
19,200,0.273106,0.421518
