round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,0.458796,11.672733,0.460820,0.425210,0.080740,0.029550,0.010230,8.632597,0.106767,0.921678,0.104600
1,100000,0.484983,12.778484,0.441190,0.448620,0.091600,0.032930,0.015780,6.886578,0.131957,0.908731,0.157480
2,100000,0.524191,13.252233,0.405840,0.489140,0.102110,0.038860,0.020320,6.466632,0.167174,1.081056,0.183053
3,100000,0.539220,11.880171,0.393530,0.505210,0.108610,0.040210,0.022250,6.402868,0.177663,1.137554,0.195938
4,100000,0.542806,12.812259,0.390300,0.507680,0.110420,0.040790,0.024140,6.541934,0.182527,1.194082,0.200559
5,100000,0.550421,13.623194,0.384850,0.514850,0.112480,0.042110,0.028170,6.605892,0.190146,1.256083,0.210460
6,100000,0.558213,15.251246,0.377910,0.522420,0.116160,0.042130,0.029180,6.482142,0.198775,1.288489,0.220865
7,100000,0.558702,16.753760,0.376790,0.522720,0.116540,0.042650,0.030840,6.505334,0.201601,1.311485,0.225169
8,100000,0.567106,17.944388,0.369440,0.531250,0.120050,0.044760,0.032640,6.529546,0.210832,1.376638,0.236242
9,100000,0.573660,20.181460,0.364880,0.537450,0.123980,0.044250,0.034880,6.519330,0.218797,1.426412,0.245431
10,105000,0.565095,18.206488,0.374514,0.527400,0.120400,0.044419,0.031486,6.607514,0.208467,1.377452,0.243746
11,105000,0.583015,20.547077,0.357800,0.546867,0.126486,0.045752,0.038086,6.521334,0.227186,1.481556,0.256310
12,105000,0.589386,20.131121,0.351152,0.553829,0.131552,0.047305,0.040400,6.525792,0.233963,1.526795,0.266407
13,105000,0.597639,20.533271,0.345790,0.562210,0.135914,0.049829,0.042495,6.562500,0.241196,1.582847,0.275338
14,105000,0.602822,20.508882,0.341410,0.567143,0.136533,0.049848,0.045981,6.518095,0.245842,1.602423,0.284255
15,105000,0.610275,20.425082,0.334390,0.574581,0.138952,0.052495,0.045905,6.535948,0.252616,1.651086,0.290456
16,105000,0.615127,20.592170,0.330314,0.579429,0.143990,0.051029,0.047952,6.553489,0.257633,1.688395,0.295311
17,105000,0.623931,21.272436,0.323981,0.588838,0.145571,0.052924,0.049819,6.513648,0.265270,1.727878,0.305860
18,105000,0.628233,21.880016,0.319600,0.593324,0.148095,0.055286,0.053181,6.542056,0.271255,1.774566,0.316562
19,105000,0.630143,22.316573,0.317876,0.595210,0.149257,0.055019,0.054162,6.501548,0.273106,1.775614,0.319209
