impression_index,users_at_index,mean_reward,mean_regret
0,500,0.091316,0.681883
1,500,0.091596,0.681883
2,500,0.085432,0.681883
3,500,0.122611,0.681883
4,500,0.102970,0.681883
5,500,0.120806,0.681883
6,500,0.104018,0.681883
7,500,0.086386,0.681883
8,500,0.072715,0.681883
9,500,0.041172,0.681883
10,500,0.151019,0.638888
11,500,0.152906,0.638888
12,500,0.156562,0.638888
13,500,0.132961,0.638888
14,500,0.133773,0.638888
15,500,0.089212,0.638888
16,500,0.137981,0.638888
17,500,0.151498,0.638888
18,500,0.102939,0.638888
19,500,0.104572,0.638888
20,500,0.137974,0.615879
21,500,0.154770,0.615879
22,500,0.189828,0.615879
23,500,0.152481,0.615879
24,500,0.130098,0.615879
25,500,0.140401,0.615879
26,500,0.124915,0.615879
27,500,0.124827,0.615879
28,500,0.152797,0.615879
29,500,0.145996,0.615879
30,500,0.171888,0.605975
31,500,0.153374,0.605975
32,500,0.173016,0.605975
33,500,0.153342,0.605975
34,500,0.138148,0.605975
35,500,0.130998,0.605975
36,500,0.142790,0.605975
37,500,0.139778,0.605975
38,500,0.164884,0.605975
39,500,0.141928,0.605975
40,500,0.175734,0.592510
41,500,0.168035,0.592510
42,500,0.186750,0.592510
43,500,0.164157,0.592510
44,500,0.157160,0.592510
45,500,0.167651,0.592510
46,500,0.142909,0.592510
47,500,0.165466,0.592510
48,500,0.157167,0.592510
49,500,0.169129,0.592510
50,500,0.183993,0.581975
51,500,0.182857,0.581975
52,500,0.156467,0.581975
53,500,0.147785,0.581975
54,500,0.130412,0.581975
55,500,0.161875,0.581975
56,500,0.163219,0.581975
57,500,0.153620,0.581975
58,500,0.139108,0.581975
59,500,0.166937,0.581975
60,500,0.205926,0.570223
61,500,0.213273,0.570223
62,500,0.199975,0.570223
63,500,0.218091,0.570223
64,500,0.203193,0.570223
65,500,0.175453,0.570223
66,500,0.191213,0.570223
67,500,0.200123,0.570223
68,500,0.187295,0.570223
69,500,0.172642,0.570223
70,500,0.217420,0.571421
71,500,0.203198,0.571421
72,500,0.216274,0.571421
73,500,0.175951,0.571421
74,500,0.191448,0.571421
75,500,0.171260,0.571421
76,500,0.192660,0.571421
77,500,0.213199,0.571421
78,500,0.177290,0.571421
79,500,0.197246,0.571421
80,500,0.209483,0.557557
81,500,0.194135,0.557557
82,500,0.215652,0.557557
83,500,0.204760,0.557557
84,500,0.182318,0.557557
85,500,0.205579,0.557557
86,500,0.184257,0.557557
87,500,0.155186,0.557557
88,500,0.187797,0.557557
89,500,0.204260,0.557557
90,500,0.191764,0.561301
91,500,0.183961,0.561301
92,500,0.195322,0.561301
93,500,0.188120,0.561301
94,500,0.200860,0.561301
95,500,0.179598,0.561301
96,500,0.191602,0.561301
97,500,0.195817,0.561301
98,500,0.208733,0.561301
99,500,0.180983,0.561301
