round,sampled_requests,mean_regret,cumulative_regret
0,196,0.692682,135.765625
1,212,0.630522,269.436381
2,205,0.597286,391.879944
3,199,0.586262,508.546030
4,203,0.601841,630.719785
5,185,0.583924,738.745727
6,186,0.566103,844.040828
7,209,0.535129,955.882713
8,208,0.562218,1072.824083
9,186,0.539917,1173.248726
10,189,0.520362,1271.597124
11,197,0.502921,1370.672471
12,196,0.499154,1468.506722
13,205,0.492021,1569.371114
14,193,0.500862,1666.037410
15,226,0.465219,1771.176819
16,215,0.493108,1877.195126
17,219,0.461170,1978.191293
18,205,0.478778,2076.340738
19,211,0.469014,2175.302643
