round,injected_impressions,injected_impressions_cum,distinct_injected_exposed_cum,share_of_round_impressions
0,0,0,0,0.000000
1,0,0,0,0.000000
2,0,0,0,0.000000
3,0,0,0,0.000000
4,0,0,0,0.000000
5,0,0,0,0.000000
6,0,0,0,0.000000
7,0,0,0,0.000000
8,0,0,0,0.000000
9,0,0,0,0.000000
10,56593,56593,1314,0.538981
11,6978,63571,1328,0.066457
12,5286,68857,1338,0.050343
13,4483,73340,1354,0.042695
14,4071,77411,1372,0.038771
15,3745,81156,1386,0.035667
16,3626,84782,1405,0.034533
17,4391,89173,1426,0.041819
18,3352,92525,1441,0.031924
19,3376,95901,1453,0.032152
