stage,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,num_samples
total,4.371709,9.207049,11.725298,4.858433,47.485291,205000
retrieval,4.047978,8.790088,11.242961,4.534573,46.612834,205000
ranking,0.179375,0.400583,0.443209,0.194597,5.559167,205000
reranking,0.000208,0.000542,0.002875,0.000228,0.022959,205000
