day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,23822,10000,2.382200,-0.366378,0.266167,307,0.002725,2.833458
1,10125,6269,1.615090,-0.651305,0.141572,592,0.006048,2.832168
2,7888,5237,1.506206,-0.667483,0.088302,895,0.009096,2.832240
3,6940,4713,1.472523,-0.667004,0.059354,1194,0.012163,2.832929
4,6209,4345,1.428999,-0.668979,0.043418,1512,0.015239,2.833881
5,6167,4259,1.447992,-0.674449,0.031879,1823,0.018499,2.834904
6,5751,4070,1.413022,-0.677502,0.024892,2095,0.021698,2.836196
7,5356,3838,1.395518,-0.689121,0.020453,2377,0.024865,2.837765
8,5116,3688,1.387202,-0.686804,0.018002,2645,0.028113,2.839468
9,0,0,0.000000,0.000000,0.018002,2645,0.028113,2.839468
